,last open10,last high10,last low10,last open9,last high9,last low9,last open8,last high8,last low8,last open7,last high7,last low7,last open6,last high6,last low6,last open5,last high5,last low5,last open4,last high4,last low4,last open3,last high3,last low3,last open2,last high2,last low2,last open1,last high1,last low1,last open,last high,last low,<OPEN>,<HIGH>,<LOW>,<CLOSE>
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0073,1.019,1.0073,1.0115
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0073,1.019,1.0073,1.0118,1.0278,1.0054,1.0246
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0073,1.019,1.0073,1.0118,1.0278,1.0054,1.0243,1.0279,1.0213,1.0276
3,,,,,,,,,,,,,,,,,,,,,,,,,1.0073,1.019,1.0073,1.0118,1.0278,1.0054,1.0243,1.0279,1.0213,1.0274,1.034,1.0263,1.0292
4,,,,,,,,,,,,,,,,,,,,,,1.0073,1.019,1.0073,1.0118,1.0278,1.0054,1.0243,1.0279,1.0213,1.0274,1.034,1.0263,1.0293,1.0402,1.0284,1.037
5,,,,,,,,,,,,,,,,,,,1.0073,1.019,1.0073,1.0118,1.0278,1.0054,1.0243,1.0279,1.0213,1.0274,1.034,1.0263,1.0293,1.0402,1.0284,1.0366,1.0389,1.0301,1.0326
6,,,,,,,,,,,,,,,,1.0073,1.019,1.0073,1.0118,1.0278,1.0054,1.0243,1.0279,1.0213,1.0274,1.034,1.0263,1.0293,1.0402,1.0284,1.0366,1.0389,1.0301,1.0325,1.0382,1.031,1.0352
7,,,,,,,,,,,,,1.0073,1.019,1.0073,1.0118,1.0278,1.0054,1.0243,1.0279,1.0213,1.0274,1.034,1.0263,1.0293,1.0402,1.0284,1.0366,1.0389,1.0301,1.0325,1.0382,1.031,1.0354,1.0415,1.0272,1.033
8,,,,,,,,,,1.0073,1.019,1.0073,1.0118,1.0278,1.0054,1.0243,1.0279,1.0213,1.0274,1.034,1.0263,1.0293,1.0402,1.0284,1.0366,1.0389,1.0301,1.0325,1.0382,1.031,1.0354,1.0415,1.0272,1.0329,1.0332,1.0283,1.0306
9,,,,,,,1.0073,1.019,1.0073,1.0118,1.0278,1.0054,1.0243,1.0279,1.0213,1.0274,1.034,1.0263,1.0293,1.0402,1.0284,1.0366,1.0389,1.0301,1.0325,1.0382,1.031,1.0354,1.0415,1.0272,1.0329,1.0332,1.0283,1.0305,1.0315,1.026,1.0298
10,,,,1.0073,1.019,1.0073,1.0118,1.0278,1.0054,1.0243,1.0279,1.0213,1.0274,1.034,1.0263,1.0293,1.0402,1.0284,1.0366,1.0389,1.0301,1.0325,1.0382,1.031,1.0354,1.0415,1.0272,1.0329,1.0332,1.0283,1.0305,1.0315,1.026,1.0286,1.0305,1.0231,1.0247
11,1.0073,1.019,1.0073,1.0118,1.0278,1.0054,1.0243,1.0279,1.0213,1.0274,1.034,1.0263,1.0293,1.0402,1.0284,1.0366,1.0389,1.0301,1.0325,1.0382,1.031,1.0354,1.0415,1.0272,1.0329,1.0332,1.0283,1.0305,1.0315,1.026,1.0286,1.0305,1.0231,1.0245,1.0275,1.0211,1.0251
12,1.0118,1.0278,1.0054,1.0243,1.0279,1.0213,1.0274,1.034,1.0263,1.0293,1.0402,1.0284,1.0366,1.0389,1.0301,1.0325,1.0382,1.031,1.0354,1.0415,1.0272,1.0329,1.0332,1.0283,1.0305,1.0315,1.026,1.0286,1.0305,1.0231,1.0245,1.0275,1.0211,1.0253,1.0318,1.0246,1.0301
13,1.0243,1.0279,1.0213,1.0274,1.034,1.0263,1.0293,1.0402,1.0284,1.0366,1.0389,1.0301,1.0325,1.0382,1.031,1.0354,1.0415,1.0272,1.0329,1.0332,1.0283,1.0305,1.0315,1.026,1.0286,1.0305,1.0231,1.0245,1.0275,1.0211,1.0253,1.0318,1.0246,1.0299,1.0341,1.0253,1.0336
14,1.0274,1.034,1.0263,1.0293,1.0402,1.0284,1.0366,1.0389,1.0301,1.0325,1.0382,1.031,1.0354,1.0415,1.0272,1.0329,1.0332,1.0283,1.0305,1.0315,1.026,1.0286,1.0305,1.0231,1.0245,1.0275,1.0211,1.0253,1.0318,1.0246,1.0299,1.0341,1.0253,1.0337,1.037,1.0319,1.0335
15,1.0293,1.0402,1.0284,1.0366,1.0389,1.0301,1.0325,1.0382,1.031,1.0354,1.0415,1.0272,1.0329,1.0332,1.0283,1.0305,1.0315,1.026,1.0286,1.0305,1.0231,1.0245,1.0275,1.0211,1.0253,1.0318,1.0246,1.0299,1.0341,1.0253,1.0337,1.037,1.0319,1.0328,1.0338,1.0261,1.0308
16,1.0366,1.0389,1.0301,1.0325,1.0382,1.031,1.0354,1.0415,1.0272,1.0329,1.0332,1.0283,1.0305,1.0315,1.026,1.0286,1.0305,1.0231,1.0245,1.0275,1.0211,1.0253,1.0318,1.0246,1.0299,1.0341,1.0253,1.0337,1.037,1.0319,1.0328,1.0338,1.0261,1.0309,1.0316,1.0278,1.0302
17,1.0325,1.0382,1.031,1.0354,1.0415,1.0272,1.0329,1.0332,1.0283,1.0305,1.0315,1.026,1.0286,1.0305,1.0231,1.0245,1.0275,1.0211,1.0253,1.0318,1.0246,1.0299,1.0341,1.0253,1.0337,1.037,1.0319,1.0328,1.0338,1.0261,1.0309,1.0316,1.0278,1.0304,1.0305,1.0237,1.026
18,1.0354,1.0415,1.0272,1.0329,1.0332,1.0283,1.0305,1.0315,1.026,1.0286,1.0305,1.0231,1.0245,1.0275,1.0211,1.0253,1.0318,1.0246,1.0299,1.0341,1.0253,1.0337,1.037,1.0319,1.0328,1.0338,1.0261,1.0309,1.0316,1.0278,1.0304,1.0305,1.0237,1.0261,1.0275,1.0229,1.0259
19,1.0329,1.0332,1.0283,1.0305,1.0315,1.026,1.0286,1.0305,1.0231,1.0245,1.0275,1.0211,1.0253,1.0318,1.0246,1.0299,1.0341,1.0253,1.0337,1.037,1.0319,1.0328,1.0338,1.0261,1.0309,1.0316,1.0278,1.0304,1.0305,1.0237,1.0261,1.0275,1.0229,1.0258,1.0261,1.0114,1.0122
20,1.0305,1.0315,1.026,1.0286,1.0305,1.0231,1.0245,1.0275,1.0211,1.0253,1.0318,1.0246,1.0299,1.0341,1.0253,1.0337,1.037,1.0319,1.0328,1.0338,1.0261,1.0309,1.0316,1.0278,1.0304,1.0305,1.0237,1.0261,1.0275,1.0229,1.0258,1.0261,1.0114,1.0129,1.0148,1.0096,1.0123
21,1.0286,1.0305,1.0231,1.0245,1.0275,1.0211,1.0253,1.0318,1.0246,1.0299,1.0341,1.0253,1.0337,1.037,1.0319,1.0328,1.0338,1.0261,1.0309,1.0316,1.0278,1.0304,1.0305,1.0237,1.0261,1.0275,1.0229,1.0258,1.0261,1.0114,1.0129,1.0148,1.0096,1.0119,1.0128,1.0069,1.0119
22,1.0245,1.0275,1.0211,1.0253,1.0318,1.0246,1.0299,1.0341,1.0253,1.0337,1.037,1.0319,1.0328,1.0338,1.0261,1.0309,1.0316,1.0278,1.0304,1.0305,1.0237,1.0261,1.0275,1.0229,1.0258,1.0261,1.0114,1.0129,1.0148,1.0096,1.0119,1.0128,1.0069,1.0118,1.0142,1.0072,1.0081
23,1.0253,1.0318,1.0246,1.0299,1.0341,1.0253,1.0337,1.037,1.0319,1.0328,1.0338,1.0261,1.0309,1.0316,1.0278,1.0304,1.0305,1.0237,1.0261,1.0275,1.0229,1.0258,1.0261,1.0114,1.0129,1.0148,1.0096,1.0119,1.0128,1.0069,1.0118,1.0142,1.0072,1.0081,1.0154,1.0072,1.0152
24,1.0299,1.0341,1.0253,1.0337,1.037,1.0319,1.0328,1.0338,1.0261,1.0309,1.0316,1.0278,1.0304,1.0305,1.0237,1.0261,1.0275,1.0229,1.0258,1.0261,1.0114,1.0129,1.0148,1.0096,1.0119,1.0128,1.0069,1.0118,1.0142,1.0072,1.0081,1.0154,1.0072,1.0152,1.0165,1.0103,1.0103
25,1.0337,1.037,1.0319,1.0328,1.0338,1.0261,1.0309,1.0316,1.0278,1.0304,1.0305,1.0237,1.0261,1.0275,1.0229,1.0258,1.0261,1.0114,1.0129,1.0148,1.0096,1.0119,1.0128,1.0069,1.0118,1.0142,1.0072,1.0081,1.0154,1.0072,1.0152,1.0165,1.0103,1.0102,1.0135,1.0085,1.0125
26,1.0328,1.0338,1.0261,1.0309,1.0316,1.0278,1.0304,1.0305,1.0237,1.0261,1.0275,1.0229,1.0258,1.0261,1.0114,1.0129,1.0148,1.0096,1.0119,1.0128,1.0069,1.0118,1.0142,1.0072,1.0081,1.0154,1.0072,1.0152,1.0165,1.0103,1.0102,1.0135,1.0085,1.0126,1.0144,1.0082,1.0095
27,1.0309,1.0316,1.0278,1.0304,1.0305,1.0237,1.0261,1.0275,1.0229,1.0258,1.0261,1.0114,1.0129,1.0148,1.0096,1.0119,1.0128,1.0069,1.0118,1.0142,1.0072,1.0081,1.0154,1.0072,1.0152,1.0165,1.0103,1.0102,1.0135,1.0085,1.0126,1.0144,1.0082,1.0094,1.0188,1.0073,1.0167
28,1.0304,1.0305,1.0237,1.0261,1.0275,1.0229,1.0258,1.0261,1.0114,1.0129,1.0148,1.0096,1.0119,1.0128,1.0069,1.0118,1.0142,1.0072,1.0081,1.0154,1.0072,1.0152,1.0165,1.0103,1.0102,1.0135,1.0085,1.0126,1.0144,1.0082,1.0094,1.0188,1.0073,1.0168,1.0193,1.0136,1.0145
29,1.0261,1.0275,1.0229,1.0258,1.0261,1.0114,1.0129,1.0148,1.0096,1.0119,1.0128,1.0069,1.0118,1.0142,1.0072,1.0081,1.0154,1.0072,1.0152,1.0165,1.0103,1.0102,1.0135,1.0085,1.0126,1.0144,1.0082,1.0094,1.0188,1.0073,1.0168,1.0193,1.0136,1.015,1.0153,1.005,1.0087
30,1.0258,1.0261,1.0114,1.0129,1.0148,1.0096,1.0119,1.0128,1.0069,1.0118,1.0142,1.0072,1.0081,1.0154,1.0072,1.0152,1.0165,1.0103,1.0102,1.0135,1.0085,1.0126,1.0144,1.0082,1.0094,1.0188,1.0073,1.0168,1.0193,1.0136,1.015,1.0153,1.005,1.0028,1.0069,1.0017,1.005
31,1.0129,1.0148,1.0096,1.0119,1.0128,1.0069,1.0118,1.0142,1.0072,1.0081,1.0154,1.0072,1.0152,1.0165,1.0103,1.0102,1.0135,1.0085,1.0126,1.0144,1.0082,1.0094,1.0188,1.0073,1.0168,1.0193,1.0136,1.015,1.0153,1.005,1.0028,1.0069,1.0017,1.005,1.0077,0.9997,1.0071
32,1.0119,1.0128,1.0069,1.0118,1.0142,1.0072,1.0081,1.0154,1.0072,1.0152,1.0165,1.0103,1.0102,1.0135,1.0085,1.0126,1.0144,1.0082,1.0094,1.0188,1.0073,1.0168,1.0193,1.0136,1.015,1.0153,1.005,1.0028,1.0069,1.0017,1.005,1.0077,0.9997,1.007,1.0096,1.0032,1.0034
33,1.0118,1.0142,1.0072,1.0081,1.0154,1.0072,1.0152,1.0165,1.0103,1.0102,1.0135,1.0085,1.0126,1.0144,1.0082,1.0094,1.0188,1.0073,1.0168,1.0193,1.0136,1.015,1.0153,1.005,1.0028,1.0069,1.0017,1.005,1.0077,0.9997,1.007,1.0096,1.0032,1.0035,1.0072,0.9992,1.0012
34,1.0081,1.0154,1.0072,1.0152,1.0165,1.0103,1.0102,1.0135,1.0085,1.0126,1.0144,1.0082,1.0094,1.0188,1.0073,1.0168,1.0193,1.0136,1.015,1.0153,1.005,1.0028,1.0069,1.0017,1.005,1.0077,0.9997,1.007,1.0096,1.0032,1.0035,1.0072,0.9992,1.0012,1.0055,1.0001,1.0031
