,last open10,last high10,last low10,last open9,last high9,last low9,last open8,last high8,last low8,last open7,last high7,last low7,last open6,last high6,last low6,last open5,last high5,last low5,last open4,last high4,last low4,last open3,last high3,last low3,last open2,last high2,last low2,last open1,last high1,last low1,last open,last high,last low,Open,High,Low,Close
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37854,1.38019,1.37603,1.37733
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37854,1.38019,1.37603,1.37734,1.37974,1.3758,1.37935
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37854,1.38019,1.37603,1.37734,1.37974,1.3758,1.37932,1.3831,1.37565,1.38045
3,,,,,,,,,,,,,,,,,,,,,,,,,1.37854,1.38019,1.37603,1.37734,1.37974,1.3758,1.37932,1.3831,1.37565,1.38044,1.38284,1.37852,1.37968
4,,,,,,,,,,,,,,,,,,,,,,1.37854,1.38019,1.37603,1.37734,1.37974,1.3758,1.37932,1.3831,1.37565,1.38044,1.38284,1.37852,1.37955,1.38418,1.37777,1.38251
5,,,,,,,,,,,,,,,,,,,1.37854,1.38019,1.37603,1.37734,1.37974,1.3758,1.37932,1.3831,1.37565,1.38044,1.38284,1.37852,1.37955,1.38418,1.37777,1.38334,1.38438,1.38268,1.38364
6,,,,,,,,,,,,,,,,1.37854,1.38019,1.37603,1.37734,1.37974,1.3758,1.37932,1.3831,1.37565,1.38044,1.38284,1.37852,1.37955,1.38418,1.37777,1.38334,1.38438,1.38268,1.38357,1.38452,1.37912,1.37982
7,,,,,,,,,,,,,1.37854,1.38019,1.37603,1.37734,1.37974,1.3758,1.37932,1.3831,1.37565,1.38044,1.38284,1.37852,1.37955,1.38418,1.37777,1.38334,1.38438,1.38268,1.38357,1.38452,1.37912,1.37997,1.38515,1.37951,1.38195
8,,,,,,,,,,1.37854,1.38019,1.37603,1.37734,1.37974,1.3758,1.37932,1.3831,1.37565,1.38044,1.38284,1.37852,1.37955,1.38418,1.37777,1.38334,1.38438,1.38268,1.38357,1.38452,1.37912,1.37997,1.38515,1.37951,1.38179,1.38251,1.36944,1.37203
9,,,,,,,1.37854,1.38019,1.37603,1.37734,1.37974,1.3758,1.37932,1.3831,1.37565,1.38044,1.38284,1.37852,1.37955,1.38418,1.37777,1.38334,1.38438,1.38268,1.38357,1.38452,1.37912,1.37997,1.38515,1.37951,1.38179,1.38251,1.36944,1.372,1.37714,1.36888,1.37502
