open,high,low,close,volume
1.10583,1.11335,1.10563,1.11321,30965
1.11319,1.11404,1.11246,1.11292,6902
1.11251,1.11451,1.11251,1.11381,3549
1.11381,1.11488,1.11365,1.11411,4948
1.11411,1.11701,1.11296,1.1161,16280
1.1161,1.11893,1.11552,1.11797,18972
1.11799,1.12089,1.11763,1.12059,21999
1.12058,1.12279,1.12023,1.12252,7708
1.12257,1.12296,1.12028,1.12227,4480
1.12227,1.12429,1.12222,1.12332,6006
1.12332,1.12358,1.12043,1.12313,11959
1.12313,1.1245,1.12099,1.12258,14077
1.12258,1.12444,1.1215,1.12395,23095
1.12399,1.12399,1.12265,1.12303,4117
1.12288,1.12345,1.12195,1.12246,2652
1.12246,1.12284,1.12145,1.1227,4389
1.1227,1.12488,1.12221,1.1238,10436
1.1238,1.1245,1.12209,1.12356,10852
1.12356,1.12383,1.12033,1.1233,12335
1.1233,1.12461,1.12314,1.12314,5751
1.12314,1.12464,1.12308,1.12418,2659
1.12419,1.12564,1.12385,1.12518,6763
1.12518,1.12758,1.12281,1.12369,16438
