open,high,low,volume,close
1.12354,1.12354,1.12166,95533.0976,1.12274
1.12242,1.12276,1.12067,93778.5996,1.12126
1.12139,1.12255,1.1203,90924.6992,1.12113
1.12092,1.12331,1.12049,91254.6992,1.12174
1.12194,1.129,1.1213,308003.4083,1.12712
1.12718,1.13019,1.12657,373668.293,1.12804
1.12798,1.13004,1.12772,94283.7988,1.12913
1.12892,1.12967,1.12743,95461.998,1.12855
1.12856,1.13412,1.12738,92809.0996,1.13381
1.13383,1.13662,1.13188,90255.7988,1.13456
1.13444,1.13646,1.13113,310697.3984,1.13515
1.1354,1.1451,1.13358,377614.6055,1.14368
1.14367,1.14448,1.1417,93442.5,1.14274
1.14195,1.14274,1.14015,95787.1972,1.14191
1.1417,1.14333,1.13902,91030.6992,1.13995
1.13956,1.14258,1.13774,89548.7012,1.14164
1.1415,1.14317,1.13275,310747.6954,1.13381
1.13368,1.13777,1.13345,376239.7969,1.13677
1.13675,1.13758,1.13418,92655.1992,1.13607
1.13529,1.13623,1.13169,98309.7012,1.1321
1.13155,1.13412,1.13026,89533.6016,1.13312
1.13341,1.14342,1.13236,91527.1992,1.14334
1.14336,1.14855,1.1424,313726.1035,1.1454
1.14547,1.15092,1.14514,373156.8946,1.15026
1.15002,1.15364,1.14732,95166,1.15164
1.1518,1.15376,1.14828,95812.002,1.15215
1.15195,1.15275,1.14769,89085.0996,1.15142
1.1512,1.15335,1.14766,92310.0976,1.14825
1.14835,1.15101,1.14362,314008.8008,1.14952
1.14963,1.15015,1.14786,377607,1.14907
1.14958,1.15751,1.14946,93730.4004,1.15536
1.15548,1.15848,1.15494,95754.8984,1.15733
1.15706,1.161,1.15545,89432.2012,1.16077
1.16041,1.16244,1.15666,90150.8008,1.15876
1.15848,1.16066,1.15362,309338.7969,1.15553
1.1557,1.1573,1.15377,378108.6992,1.15457
1.15427,1.15751,1.15101,95618.9004,1.1515
1.15121,1.15193,1.1463,96293.7012,1.14968
1.14979,1.15558,1.1474,88351.498,1.14958
1.14973,1.15318,1.14916,92453.4004,1.15263
1.15264,1.15546,1.14882,311556.6992,1.15002
1.14997,1.15389,1.1497,373457.1954,1.1515
1.1519,1.15388,1.15119,92544.9004,1.15216
1.1516,1.1523,1.1487,96381.1992,1.15113
1.15126,1.1527,1.14681,90219.6016,1.15223
1.15241,1.15336,1.14761,90573.7012,1.14919
1.14941,1.15182,1.14726,310483.1035,1.14972
1.14993,1.15277,1.14921,373698.8047,1.1497
1.14983,1.14988,1.14681,92479.4004,1.14713
1.14727,1.1488,1.1421,93187.1992,1.14456
1.14444,1.14643,1.14263,90667.498,1.14583
1.14611,1.14855,1.14533,88196.2012,1.14749
1.14749,1.14775,1.14364,311498.0977,1.14567
1.14537,1.14712,1.13757,376066.7929,1.13877
1.13845,1.13953,1.13691,95389.5,1.13881
1.13891,1.14147,1.13879,98403.0996,1.14088
1.1409,1.14142,1.13832,91692,1.1406
1.14067,1.14863,1.14005,90073.0996,1.1481
1.14819,1.15567,1.14814,310782.9043,1.15443
1.15433,1.15786,1.15273,373743.0937,1.15735
1.16634,1.16851,1.16287,95141.9004,1.16688
1.16689,1.17088,1.1656,97433.7988,1.16944
1.16916,1.17128,1.16656,88445.5,1.16904
1.16947,1.17363,1.16564,92925.0996,1.16657
1.16618,1.17042,1.16294,308486.5996,1.1684
1.16847,1.16958,1.16215,371953.6915,1.16596
1.1659,1.1662,1.16249,92872.7988,1.16309
1.16312,1.16657,1.16289,96400.7988,1.16517
1.16515,1.16818,1.16119,89094,1.16176
1.16179,1.1667,1.16013,92954.0996,1.16434
1.1643,1.1698,1.16304,314554.0079,1.16859
1.16876,1.17156,1.16764,373909.6055,1.17069
1.17059,1.17453,1.16976,93439,1.17225
1.17204,1.17287,1.17104,94478.8008,1.17167
1.1714,1.17295,1.1699,91076.7988,1.17148
1.1713,1.17243,1.16754,91135.4004,1.16859
1.16835,1.17405,1.16617,306601.0039,1.17058
1.1707,1.17178,1.16661,373083.8047,1.16746
1.16724,1.16813,1.16244,94816.8008,1.16541
1.16531,1.16592,1.16237,94609.8008,1.16426
1.16439,1.16548,1.16192,88648.5996,1.16458
1.16517,1.17179,1.16496,90969,1.17167
1.17172,1.17276,1.16716,305149.1934,1.16982
1.16975,1.17233,1.1684,368992.9024,1.16938
1.16947,1.17061,1.16741,94849.3008,1.16802
1.16784,1.16931,1.16648,93769.0996,1.16772
1.16742,1.17178,1.16654,89516.2988,1.17131
1.17189,1.18083,1.17144,90995.7012,1.17905
1.17904,1.17987,1.17691,309030.1953,1.17819
1.17858,1.18373,1.17845,372048.5976,1.18266
1.1827,1.18348,1.18102,94487.0996,1.18139
1.18123,1.18221,1.18045,97504.1016,1.18178
1.18182,1.18287,1.17972,88121.8008,1.18073
1.1809,1.1823,1.18053,91488.5,1.1811
1.18104,1.18691,1.18067,306960.3008,1.18613
1.18583,1.18754,1.1857,374184.1992,1.1869
1.1867,1.18757,1.18452,92791.7012,1.1862
1.18646,1.18989,1.18624,95837.7988,1.18871
1.1888,1.19077,1.18176,90722.8008,1.18807
1.18831,1.19233,1.18792,94416.5996,1.1897
1.18944,1.193,1.18494,308324.498,1.18534
1.18527,1.1876,1.18249,375595.5,1.18288
1.18261,1.1829,1.18086,95058.2012,1.18116
1.18155,1.18422,1.18116,94809.0996,1.18322
1.1835,1.18453,1.17619,91838.0996,1.17695
1.17702,1.17977,1.17047,90089,1.172
1.17207,1.17765,1.17099,314511.795,1.17427
1.17404,1.1781,1.17209,373941.496,1.17649
1.17657,1.17703,1.17408,93069.0996,1.1754
1.17548,1.17698,1.1732,93883.8008,1.17423
1.17424,1.17695,1.17024,89701.1992,1.17036
1.17067,1.17774,1.16917,91591.9004,1.17606
1.17634,1.18458,1.17407,307693.9023,1.1825
1.1834,1.19008,1.18271,369965.0977,1.18833
1.18827,1.19158,1.18796,94757.6992,1.18828
1.18804,1.1895,1.18674,95444.998,1.18734
1.18751,1.18927,1.18433,89643.8984,1.18536
1.18478,1.18556,1.18154,91470.5976,1.18272
1.18243,1.18342,1.17439,312367.1992,1.1762
1.17632,1.17932,1.17558,373578.8984,1.17691
1.17691,1.17825,1.17691,0,1.17825
1.17149,1.17476,1.17073,96344.5,1.17229
1.1722,1.173,1.16524,94696.5,1.16748
1.16764,1.17545,1.16649,87726.3008,1.16841
1.16876,1.17196,1.16658,92470.5,1.16758
1.16735,1.17463,1.16592,309753.0977,1.17402
1.1742,1.17672,1.17394,284527.4024,1.17473
1.17496,1.17686,1.17354,92399.4004,1.17418
1.17397,1.17617,1.1725,94262.1016,1.17552
1.17561,1.17783,1.17428,90317.7988,1.17714
1.17685,1.17751,1.1711,90283.0996,1.1725
1.17228,1.17491,1.16875,313103.0977,1.16998
1.1701,1.17551,1.16976,371493.1055,1.17391
1.17365,1.17449,1.17173,92443.8008,1.17232
1.17235,1.17371,1.17116,97601.1992,1.17247
1.17284,1.17473,1.17082,90039.9004,1.17373
1.17343,1.17426,1.16904,89027.1992,1.17039
1.17032,1.17261,1.16696,312423.5039,1.17053
1.17063,1.17125,1.16619,379512.9064,1.16645
1.16635,1.16639,1.16325,92719.2012,1.16468
1.1646,1.16602,1.16287,94807.9004,1.16531
1.16571,1.16748,1.16428,87774.7012,1.16646
1.1664,1.17398,1.16582,91357.4004,1.17341
1.17417,1.1886,1.17335,309839.1992,1.18692
1.18658,1.18771,1.18327,375063.1015,1.18405
1.18389,1.18531,1.18313,95687,1.18342
1.18341,1.18576,1.18295,99047.9004,1.18484
1.18487,1.18579,1.18179,87714.7988,1.18319
1.18336,1.18785,1.18168,90740.2988,1.18172
1.18136,1.18205,1.16843,311258.5977,1.16932
1.1692,1.17328,1.16875,373126.1992,1.17001
1.1694,1.17118,1.16884,94596.8008,1.17032
1.1697,1.17101,1.16564,98592.5,1.17041
1.17051,1.17111,1.16689,90792.9004,1.16785
1.16839,1.1742,1.16805,91980.6992,1.17224
1.17317,1.17859,1.1719,310569.5,1.17399
1.1736,1.17586,1.1715,375790.8008,1.17161
1.17146,1.17224,1.17059,92113.0996,1.17111
1.17125,1.17382,1.17076,95671.7988,1.17227
1.17223,1.17415,1.16979,89711.1992,1.17057
1.17029,1.17279,1.16926,90068.502,1.17109
1.17073,1.17145,1.16704,310043.1953,1.16831
1.16827,1.17031,1.16704,377453.5039,1.16759
1.16746,1.16829,1.16656,93400.4004,1.16708
1.16692,1.1686,1.16581,97758.2988,1.16754
1.16804,1.17336,1.1677,91495.5976,1.17029
1.17042,1.17626,1.17002,90309.4004,1.1753
1.17528,1.1782,1.17403,315221.6934,1.17637
1.17606,1.17668,1.17397,380817.6016,1.17421
1.17429,1.17634,1.17328,97006.9004,1.17542
1.17503,1.17662,1.17417,97276.8008,1.17603
1.17585,1.18032,1.17507,91998.7988,1.18002
