<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.01.03	00:00:00	1.00730	1.01900	1.00730	1.01570	1279	0	50
2000.01.03	08:00:00	1.01540	1.01670	1.00540	1.00730	3293	0	50
2000.01.03	16:00:00	1.00770	1.02780	1.00700	1.02460	2070	0	50
2000.01.04	00:00:00	1.02430	1.02660	1.02270	1.02410	1885	0	50
2000.01.04	08:00:00	1.02340	1.03360	1.02130	1.03260	3293	0	50
2000.01.04	16:00:00	1.03310	1.03400	1.02680	1.02920	2161	0	50
2000.01.05	00:00:00	1.02930	1.03300	1.02840	1.03170	1150	0	50
2000.01.05	08:00:00	1.03180	1.04020	1.03090	1.03710	3467	0	50
2000.01.05	16:00:00	1.03690	1.03790	1.03010	1.03260	1953	0	50
2000.01.06	00:00:00	1.03250	1.03820	1.03100	1.03640	1723	0	50
2000.01.06	08:00:00	1.03680	1.04150	1.03270	1.03660	3438	0	50
2000.01.06	16:00:00	1.03620	1.03680	1.02720	1.03300	2062	0	50
2000.01.07	00:00:00	1.03290	1.03320	1.02880	1.02930	1327	0	50
2000.01.07	08:00:00	1.02950	1.03230	1.02600	1.02880	2956	0	50
2000.01.07	16:00:00	1.02890	1.03130	1.02720	1.02980	1406	0	50
2000.01.10	00:00:00	1.02860	1.03050	1.02720	1.02730	1355	0	50
2000.01.10	08:00:00	1.02740	1.02820	1.02110	1.02420	3219	0	50
2000.01.10	16:00:00	1.02430	1.02750	1.02340	1.02510	1623	0	50
2000.01.11	00:00:00	1.02530	1.02960	1.02460	1.02950	1286	0	50
2000.01.11	08:00:00	1.02950	1.03180	1.02530	1.02850	3384	0	50
2000.01.11	16:00:00	1.02850	1.03410	1.02820	1.03360	1967	0	50
2000.01.12	00:00:00	1.03370	1.03560	1.03190	1.03320	1670	0	50
2000.01.12	08:00:00	1.03310	1.03700	1.02750	1.03020	3531	0	50
2000.01.12	16:00:00	1.03030	1.03200	1.02610	1.03080	1676	0	50
2000.01.13	00:00:00	1.03090	1.03160	1.02780	1.02930	1307	0	50
2000.01.13	08:00:00	1.02920	1.03080	1.02370	1.02640	3247	0	50
2000.01.13	16:00:00	1.02620	1.02810	1.02490	1.02600	1622	0	50
2000.01.14	00:00:00	1.02610	1.02750	1.02350	1.02550	1272	0	50
2000.01.14	08:00:00	1.02530	1.02620	1.01740	1.01940	3258	0	50
2000.01.14	16:00:00	1.01890	1.01970	1.01140	1.01220	1646	0	50
2000.01.17	00:00:00	1.01290	1.01480	1.01200	1.01340	673	0	50
2000.01.17	08:00:00	1.01320	1.01420	1.00690	1.00790	3305	0	50
2000.01.17	16:00:00	1.00820	1.01280	1.00710	1.01190	1703	0	50
2000.01.18	00:00:00	1.01180	1.01260	1.00910	1.01030	1482	0	50
2000.01.18	08:00:00	1.01030	1.01420	1.00720	1.01030	3491	0	50
2000.01.18	16:00:00	1.00970	1.01540	1.00910	1.01520	1764	0	50
2000.01.19	00:00:00	1.01520	1.01650	1.01330	1.01470	1702	0	50
2000.01.19	08:00:00	1.01450	1.01560	1.00960	1.01090	3190	0	50
2000.01.19	16:00:00	1.01090	1.01350	1.00850	1.01250	1477	0	50
2000.01.20	00:00:00	1.01260	1.01270	1.01050	1.01170	1303	0	50
2000.01.20	08:00:00	1.01160	1.01440	1.00730	1.00950	3174	0	50
2000.01.20	16:00:00	1.00960	1.01880	1.00780	1.01670	2326	0	50
2000.01.21	00:00:00	1.01680	1.01930	1.01520	1.01740	2250	0	50
2000.01.21	08:00:00	1.01750	1.01880	1.00500	1.00650	3670	0	50
2000.01.21	16:00:00	1.00670	1.01030	1.00610	1.00870	1750	0	50
2000.01.24	00:00:00	1.00280	1.00580	1.00170	1.00270	1121	0	50
2000.01.24	08:00:00	1.00280	1.00690	0.99970	1.00210	3308	0	50
2000.01.24	16:00:00	1.00220	1.00770	1.00070	1.00710	1966	0	50
2000.01.25	00:00:00	1.00700	1.00960	1.00570	1.00830	1030	0	50
2000.01.25	08:00:00	1.00830	1.00920	0.99920	1.00390	3176	0	50
2000.01.25	16:00:00	1.00430	1.00720	1.00010	1.00120	1753	0	50
2000.01.26	00:00:00	1.00120	1.00350	1.00090	1.00220	1655	0	50
2000.01.26	08:00:00	1.00220	1.00550	1.00010	1.00150	3341	0	50
2000.01.26	16:00:00	1.00130	1.00220	0.99950	1.00030	2150	0	50
2000.01.27	00:00:00	1.00070	1.00150	0.99890	1.00130	1763	0	50
2000.01.27	08:00:00	1.00110	1.00300	0.99060	0.99180	3713	0	50
2000.01.27	16:00:00	0.99180	0.99200	0.98680	0.98820	1805	0	50
2000.01.28	00:00:00	0.98830	0.98950	0.98640	0.98870	1186	0	50
2000.01.28	08:00:00	0.98830	0.98880	0.98310	0.98460	3398	0	50
2000.01.28	16:00:00	0.98420	0.98520	0.97360	0.97490	2302	0	50
2000.01.31	00:00:00	0.97730	0.98220	0.97720	0.98000	1100	0	50
2000.01.31	08:00:00	0.98020	0.98290	0.97840	0.97940	3274	0	50
2000.01.31	16:00:00	0.97950	0.98040	0.96670	0.97110	1947	0	50
2000.02.01	00:00:00	0.97110	0.97180	0.96970	0.97040	1114	0	50
2000.02.01	08:00:00	0.97050	0.97650	0.96670	0.97430	3461	0	50
2000.02.01	16:00:00	0.97420	0.97820	0.96900	0.97130	2213	0	50
2000.02.02	00:00:00	0.97130	0.97370	0.96940	0.97340	1289	0	50
2000.02.02	08:00:00	0.97370	0.97500	0.97000	0.97130	3194	0	50
2000.02.02	16:00:00	0.97130	0.98080	0.96950	0.97650	2261	0	50
2000.02.03	00:00:00	0.97670	0.97760	0.97200	0.97360	1496	0	50
2000.02.03	08:00:00	0.97320	0.98030	0.97100	0.97880	3762	0	50
2000.02.03	16:00:00	0.97890	0.99470	0.97880	0.98980	2421	0	50
2000.02.04	00:00:00	0.99000	0.99150	0.98830	0.98980	1259	0	50
2000.02.04	08:00:00	0.98930	0.99400	0.97850	0.98090	4104	0	50
2000.02.04	16:00:00	0.98070	0.98450	0.97470	0.98400	2017	0	50
2000.02.07	00:00:00	0.98320	0.98320	0.98050	0.98110	578	0	50
2000.02.07	08:00:00	0.98120	0.98270	0.97540	0.97690	3325	0	50
2000.02.07	16:00:00	0.97680	0.98160	0.97620	0.98090	1818	0	50
2000.02.08	00:00:00	0.98100	0.98250	0.97970	0.98110	1246	0	50
2000.02.08	08:00:00	0.98110	0.99140	0.97860	0.98780	3599	0	50
2000.02.08	16:00:00	0.98720	0.98860	0.98470	0.98590	1954	0	50
2000.02.09	00:00:00	0.98600	0.98930	0.98560	0.98810	1295	0	50
2000.02.09	08:00:00	0.98760	0.99710	0.98660	0.99360	4006	0	50
2000.02.09	16:00:00	0.99370	0.99460	0.98860	0.99340	2168	0	50
2000.02.10	00:00:00	0.99340	0.99620	0.99060	0.99260	1413	0	50
2000.02.10	08:00:00	0.99260	0.99370	0.98560	0.98820	3381	0	50
2000.02.10	16:00:00	0.98820	0.99020	0.98310	0.98520	2285	0	50
2000.02.11	00:00:00	0.98530	0.98680	0.98440	0.98500	1260	0	50
2000.02.11	08:00:00	0.98510	0.98750	0.97860	0.98160	3243	0	50
2000.02.11	16:00:00	0.98170	0.98860	0.98170	0.98840	1793	0	50
2000.02.14	00:00:00	0.98770	0.98980	0.98530	0.98860	1347	0	50
2000.02.14	08:00:00	0.98890	0.99160	0.98240	0.98350	3025	0	50
2000.02.14	16:00:00	0.98360	0.98390	0.97760	0.97850	1873	0	50
2000.02.15	00:00:00	0.97810	0.98060	0.97770	0.97990	1132	0	50
2000.02.15	08:00:00	0.97990	0.98150	0.97630	0.97790	3250	0	50
2000.02.15	16:00:00	0.97800	0.98620	0.97720	0.98130	2140	0	50
2000.02.16	00:00:00	0.98150	0.98260	0.98070	0.98140	1043	0	50
2000.02.16	08:00:00	0.98120	0.98390	0.97900	0.98270	2879	0	50
2000.02.16	16:00:00	0.98310	0.98780	0.98250	0.98630	1769	0	50
2000.02.17	00:00:00	0.98620	0.98740	0.98490	0.98610	1045	0	50
2000.02.17	08:00:00	0.98630	0.99580	0.98510	0.98980	3314	0	50
2000.02.17	16:00:00	0.98990	0.99270	0.98370	0.98800	1957	0	50
2000.02.18	00:00:00	0.98810	0.99020	0.98670	0.98980	1319	0	50
2000.02.18	08:00:00	0.98960	0.98980	0.98090	0.98280	3382	0	50
2000.02.18	16:00:00	0.98280	0.98680	0.98210	0.98450	1289	0	50
2000.02.21	00:00:00	0.98540	0.98810	0.98470	0.98620	847	0	50
2000.02.21	08:00:00	0.98620	0.98890	0.98430	0.98610	3209	0	50
2000.02.21	16:00:00	0.98620	0.98780	0.98570	0.98780	1329	0	50
2000.02.22	00:00:00	0.98780	0.99470	0.98740	0.99270	1192	0	50
2000.02.22	08:00:00	0.99280	1.00370	0.99200	1.00270	3298	0	50
2000.02.22	16:00:00	1.00290	1.00810	1.00240	1.00390	1891	0	50
2000.02.23	00:00:00	1.00380	1.00740	1.00380	1.00620	775	0	50
2000.02.23	08:00:00	1.00620	1.00890	1.00290	1.00560	3184	0	50
2000.02.23	16:00:00	1.00560	1.00570	1.00110	1.00360	1846	0	50
2000.02.24	00:00:00	1.00350	1.00420	1.00120	1.00220	1365	0	50
2000.02.24	08:00:00	1.00230	1.00310	0.98880	0.99290	3270	0	50
2000.02.24	16:00:00	0.99270	0.99630	0.99070	0.99110	1797	0	50
2000.02.25	00:00:00	0.99140	0.99300	0.99020	0.99130	1219	0	50
2000.02.25	08:00:00	0.99120	0.99220	0.98010	0.98150	3481	0	50
2000.02.25	16:00:00	0.98130	0.98310	0.97220	0.97460	1867	0	50
2000.02.28	00:00:00	0.97280	0.97320	0.94010	0.95850	1968	0	50
2000.02.28	08:00:00	0.95900	0.97250	0.95570	0.96760	3550	0	50
2000.02.28	16:00:00	0.96790	0.97330	0.96520	0.97080	2139	0	50
2000.02.29	00:00:00	0.97070	0.97300	0.96600	0.96850	1540	0	50
2000.02.29	08:00:00	0.96840	0.98720	0.96430	0.96740	4121	0	50
2000.02.29	16:00:00	0.96720	0.96850	0.96220	0.96350	1957	0	50
2000.03.01	00:00:00	0.96350	0.97180	0.96260	0.96910	1862	0	50
2000.03.01	08:00:00	0.96910	0.97130	0.96470	0.96740	3177	0	50
2000.03.01	16:00:00	0.96730	0.97670	0.96660	0.97270	2108	0	50
2000.03.02	00:00:00	0.97280	0.97640	0.96880	0.97460	1960	0	50
2000.03.02	08:00:00	0.97450	0.97930	0.96910	0.97230	3724	0	50
2000.03.02	16:00:00	0.97220	0.97270	0.96150	0.96330	2154	0	50
2000.03.03	00:00:00	0.96300	0.96770	0.96070	0.96620	1893	0	50
2000.03.03	08:00:00	0.96640	0.96780	0.96180	0.96220	3414	0	50
2000.03.03	16:00:00	0.96230	0.96460	0.95770	0.96070	1830	0	50
2000.03.06	00:00:00	0.95670	0.95930	0.95590	0.95770	1444	0	50
2000.03.06	08:00:00	0.95790	0.96720	0.95730	0.95990	3163	0	50
2000.03.06	16:00:00	0.95980	0.96340	0.95730	0.95790	1936	0	50
2000.03.07	00:00:00	0.95790	0.96050	0.95730	0.96040	1528	0	50
2000.03.07	08:00:00	0.96040	0.96240	0.95600	0.95830	3468	0	50
2000.03.07	16:00:00	0.95830	0.96230	0.95250	0.95850	2257	0	50
2000.03.08	00:00:00	0.95830	0.96130	0.95690	0.96080	1736	0	50
2000.03.08	08:00:00	0.96070	0.96170	0.95210	0.95490	3485	0	50
2000.03.08	16:00:00	0.95500	0.96310	0.95390	0.96150	2027	0	50
2000.03.09	00:00:00	0.96140	0.96470	0.96100	0.96250	1832	0	50
2000.03.09	08:00:00	0.96280	0.96530	0.95950	0.96490	3318	0	50
2000.03.09	16:00:00	0.96410	0.96980	0.96400	0.96730	2071	0	50
2000.03.10	00:00:00	0.96730	0.96900	0.96560	0.96740	1823	0	50
2000.03.10	08:00:00	0.96720	0.96810	0.95990	0.96350	3349	0	50
2000.03.10	16:00:00	0.96320	0.96690	0.96150	0.96390	1650	0	50
2000.03.13	00:00:00	0.96270	0.96650	0.96160	0.96590	1515	0	50
2000.03.13	08:00:00	0.96590	0.97300	0.96540	0.96930	3233	0	50
2000.03.13	16:00:00	0.96940	0.97040	0.96170	0.96450	2070	0	50
2000.03.14	00:00:00	0.96460	0.96550	0.96180	0.96460	1587	0	50
2000.03.14	08:00:00	0.96450	0.96640	0.96060	0.96570	3017	0	50
2000.03.14	16:00:00	0.96560	0.96920	0.95900	0.96850	2159	0	50
2000.03.15	00:00:00	0.96840	0.96900	0.96600	0.96740	1526	0	50
2000.03.15	08:00:00	0.96740	0.97010	0.96400	0.96750	3201	0	50
2000.03.15	16:00:00	0.96760	0.97140	0.96500	0.96530	2027	0	50
2000.03.16	00:00:00	0.96510	0.97040	0.96460	0.96960	1374	0	50
2000.03.16	08:00:00	0.96950	0.97080	0.96490	0.96870	3272	0	50
2000.03.16	16:00:00	0.96840	0.97400	0.96760	0.97040	2023	0	50
2000.03.17	00:00:00	0.97020	0.97180	0.96910	0.97060	1330	0	50
2000.03.17	08:00:00	0.97070	0.97180	0.96570	0.96810	3105	0	50
2000.03.17	16:00:00	0.96860	0.97320	0.96750	0.97290	1919	0	50
2000.03.20	00:00:00	0.97250	0.97290	0.97050	0.97160	1285	0	50
2000.03.20	08:00:00	0.97190	0.97460	0.96930	0.97040	3137	0	50
2000.03.20	16:00:00	0.97050	0.97410	0.96840	0.97270	1681	0	50
2000.03.21	00:00:00	0.97290	0.97400	0.97150	0.97230	1523	0	50
2000.03.21	08:00:00	0.97220	0.97370	0.96900	0.97170	3135	0	50
2000.03.21	16:00:00	0.97180	0.97240	0.96030	0.96090	2101	0	50
2000.03.22	00:00:00	0.96070	0.96190	0.95730	0.96160	1548	0	50
2000.03.22	08:00:00	0.96140	0.96280	0.95780	0.96010	3308	0	50
2000.03.22	16:00:00	0.96000	0.96320	0.95840	0.96050	1898	0	50
2000.03.23	00:00:00	0.96020	0.96260	0.96020	0.96230	1176	0	50
2000.03.23	08:00:00	0.96230	0.97120	0.96010	0.97090	3398	0	50
2000.03.23	16:00:00	0.97130	0.97300	0.96850	0.97150	1720	0	50
2000.03.24	00:00:00	0.97140	0.97620	0.97120	0.97230	1725	0	50
2000.03.24	08:00:00	0.97210	0.97360	0.96720	0.97250	3431	0	50
2000.03.24	16:00:00	0.97230	0.97850	0.97010	0.97850	1965	0	50
2000.03.27	00:00:00	0.97740	0.97900	0.97580	0.97780	1863	0	50
2000.03.27	08:00:00	0.97770	0.97830	0.97070	0.97160	2981	0	50
2000.03.27	16:00:00	0.97150	0.97180	0.96320	0.96730	1970	0	50
2000.03.28	00:00:00	0.96730	0.96920	0.96490	0.96810	1797	0	50
2000.03.28	08:00:00	0.96790	0.97020	0.96400	0.96940	3294	0	50
2000.03.28	16:00:00	0.96930	0.96990	0.96000	0.96040	2246	0	50
2000.03.29	00:00:00	0.96050	0.96100	0.95390	0.95870	1936	0	50
2000.03.29	08:00:00	0.95870	0.96030	0.95540	0.95720	3246	0	50
2000.03.29	16:00:00	0.95700	0.95780	0.94780	0.95140	2152	0	50
2000.03.30	00:00:00	0.95140	0.95470	0.95120	0.95410	1321	0	50
2000.03.30	08:00:00	0.95390	0.95830	0.95100	0.95410	3532	0	50
2000.03.30	16:00:00	0.95400	0.96240	0.95160	0.96120	1976	0	50
2000.03.31	00:00:00	0.96130	0.96320	0.95790	0.95830	1416	0	50
2000.03.31	08:00:00	0.95850	0.96010	0.95280	0.95700	3650	0	50
2000.03.31	16:00:00	0.95680	0.95890	0.95500	0.95520	1763	0	50
2000.04.03	00:00:00	0.95620	0.95750	0.95060	0.95060	1625	0	50
2000.04.03	08:00:00	0.95080	0.95810	0.95020	0.95600	2833	0	50
2000.04.03	16:00:00	0.95580	0.96060	0.95250	0.95380	1802	0	50
2000.04.04	00:00:00	0.95390	0.95750	0.95370	0.95570	999	0	50
2000.04.04	08:00:00	0.95570	0.95710	0.95190	0.95390	3158	0	50
2000.04.04	16:00:00	0.95400	0.97490	0.95150	0.96180	2400	0	50
2000.04.05	00:00:00	0.96170	0.96430	0.96020	0.96250	1732	0	50
2000.04.05	08:00:00	0.96250	0.97120	0.95940	0.96810	3635	0	50
2000.04.05	16:00:00	0.96850	0.96860	0.96030	0.96070	1994	0	50
2000.04.06	00:00:00	0.96070	0.96310	0.96020	0.96180	1200	0	50
2000.04.06	08:00:00	0.96160	0.96420	0.95720	0.95940	3397	0	50
2000.04.06	16:00:00	0.95950	0.96040	0.95650	0.95820	1872	0	50
2000.04.07	00:00:00	0.95810	0.95850	0.95520	0.95680	1342	0	50
2000.04.07	08:00:00	0.95690	0.96010	0.95370	0.95710	3304	0	50
2000.04.07	16:00:00	0.95720	0.96090	0.95370	0.95450	1952	0	50
2000.04.10	00:00:00	0.95480	0.95700	0.95340	0.95650	1135	0	50
2000.04.10	08:00:00	0.95650	0.96160	0.95500	0.96050	3492	0	50
2000.04.10	16:00:00	0.96030	0.96300	0.95840	0.96240	1624	0	50
2000.04.11	00:00:00	0.96250	0.96340	0.96150	0.96230	1158	0	50
2000.04.11	08:00:00	0.96250	0.96430	0.95840	0.96130	3904	0	50
2000.04.11	16:00:00	0.96170	0.96490	0.95620	0.95870	2155	0	50
2000.04.12	00:00:00	0.95880	0.96050	0.95790	0.95920	1202	0	50
2000.04.12	08:00:00	0.95930	0.96070	0.95470	0.95770	4188	0	50
2000.04.12	16:00:00	0.95770	0.95930	0.95210	0.95900	2221	0	50
2000.04.13	00:00:00	0.95890	0.95950	0.95620	0.95770	1379	0	50
2000.04.13	08:00:00	0.95790	0.96020	0.95140	0.95620	4434	0	50
2000.04.13	16:00:00	0.95600	0.95710	0.95130	0.95300	1490	0	50
2000.04.14	00:00:00	0.95280	0.95470	0.95100	0.95360	1402	0	50
2000.04.14	08:00:00	0.95370	0.96220	0.95300	0.95880	3954	0	50
2000.04.14	16:00:00	0.95900	0.96320	0.95250	0.96280	1684	0	50
2000.04.17	00:00:00	0.96480	0.96700	0.96410	0.96420	939	0	50
2000.04.17	08:00:00	0.96420	0.96790	0.95490	0.95660	4313	0	50
2000.04.17	16:00:00	0.95680	0.95850	0.95160	0.95220	1843	0	50
2000.04.18	00:00:00	0.95200	0.95270	0.94530	0.94970	1809	0	50
2000.04.18	08:00:00	0.94950	0.95210	0.94520	0.94920	4219	0	50
2000.04.18	16:00:00	0.94910	0.95080	0.94400	0.94500	1874	0	50
2000.04.19	00:00:00	0.94490	0.94660	0.94440	0.94620	1246	0	50
2000.04.19	08:00:00	0.94600	0.94910	0.94430	0.94470	3317	0	50
2000.04.19	16:00:00	0.94370	0.94420	0.93550	0.94040	1808	0	50
2000.04.20	00:00:00	0.94000	0.94240	0.93920	0.94130	1367	0	50
2000.04.20	08:00:00	0.94140	0.94250	0.93590	0.93720	3253	0	50
2000.04.20	16:00:00	0.93710	0.94010	0.93530	0.93800	1734	0	50
2000.04.21	00:00:00	0.93790	0.94000	0.93790	0.93900	680	0	50
2000.04.21	08:00:00	0.93890	0.93950	0.93620	0.93770	2016	0	50
2000.04.21	16:00:00	0.93770	0.93880	0.93710	0.93830	750	0	50
2000.04.24	00:00:00	0.93820	0.94030	0.93670	0.93930	851	0	50
2000.04.24	08:00:00	0.93920	0.94510	0.93870	0.94150	1589	0	50
2000.04.24	16:00:00	0.94130	0.94220	0.93740	0.93870	1187	0	50
2000.04.25	00:00:00	0.93890	0.93960	0.93770	0.93860	880	0	50
2000.04.25	08:00:00	0.93870	0.93970	0.92520	0.92540	3491	0	50
2000.04.25	16:00:00	0.92550	0.92780	0.91630	0.92080	2154	0	50
2000.04.26	00:00:00	0.92100	0.92230	0.91750	0.91970	1438	0	50
2000.04.26	08:00:00	0.91970	0.92450	0.91770	0.92100	3431	0	50
2000.04.26	16:00:00	0.92090	0.92490	0.92030	0.92340	2007	0	50
2000.04.27	00:00:00	0.92360	0.92440	0.92020	0.92150	1395	0	50
2000.04.27	08:00:00	0.92130	0.92490	0.91150	0.91350	3827	0	50
2000.04.27	16:00:00	0.91340	0.91350	0.90590	0.91060	2045	0	50
2000.04.28	00:00:00	0.91060	0.91260	0.90990	0.91170	1258	0	50
2000.04.28	08:00:00	0.91150	0.91370	0.90300	0.90940	3784	0	50
2000.04.28	16:00:00	0.90910	0.91310	0.90770	0.91170	1817	0	50
2000.05.01	00:00:00	0.91200	0.91210	0.90860	0.91150	575	0	50
2000.05.01	08:00:00	0.91150	0.91360	0.90710	0.90870	2193	0	50
2000.05.01	16:00:00	0.90860	0.91740	0.90720	0.91570	1495	0	50
2000.05.02	00:00:00	0.91580	0.91750	0.91440	0.91610	1169	0	50
2000.05.02	08:00:00	0.91570	0.91690	0.90900	0.91170	3435	0	50
2000.05.02	16:00:00	0.91180	0.91220	0.90370	0.90990	1737	0	50
2000.05.03	00:00:00	0.90970	0.91070	0.90790	0.90870	1090	0	50
2000.05.03	08:00:00	0.90860	0.90880	0.88910	0.89410	4032	0	50
2000.05.03	16:00:00	0.89410	0.89710	0.88870	0.89530	1989	0	50
2000.05.04	00:00:00	0.89540	0.89550	0.88880	0.89260	1162	0	50
2000.05.04	08:00:00	0.89270	0.89730	0.88470	0.89320	4163	0	50
2000.05.04	16:00:00	0.89290	0.89380	0.88910	0.89110	1839	0	50
2000.05.05	00:00:00	0.89080	0.89300	0.89070	0.89130	972	0	50
2000.05.05	08:00:00	0.89120	0.90110	0.89030	0.89770	3828	0	50
2000.05.05	16:00:00	0.89850	0.89890	0.89060	0.89690	1883	0	50
2000.05.08	00:00:00	0.89650	0.90300	0.89620	0.90130	1253	0	50
2000.05.08	08:00:00	0.90110	0.90450	0.89150	0.89520	3827	0	50
2000.05.08	16:00:00	0.89520	0.89870	0.89140	0.89680	2092	0	50
2000.05.09	00:00:00	0.89690	0.89910	0.89630	0.89750	1319	0	50
2000.05.09	08:00:00	0.89770	0.90040	0.89450	0.89860	3181	0	50
